Gene	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	GC10	GC11	GC12
1110020A21Rik	0.023313187	0.060671901	0.317309969	0.334421227	0.38781357	0.494292891	0.504659507	0.338506095	0.437194589	0.355078396	0.34483094	0.356906071
1110025L11Rik	0	0	0	0	0	0	0.001972296	0	0.01540151	0.015631354	0.004161973	0
1110025M09Rik	0.007248599	0	0.152448506	0.026195098	0.017442519	0.025159278	0.023553862	0.037464592	0.012175215	0.015123898	0.037977559	0.020766623
1110028F18Rik	0.001875829	0	0	0.017279296	0.022307795	0.025391791	0.032094917	0.001991831	0.019918706	0.021539143	0.002826211	0.002085006
1110032A03Rik	0.330812539	0.993888552	1.068432461	1.616743902	1.66327219	1.784186338	1.891621384	1.735730384	1.976651834	1.890814562	2.070978307	2.094209362
1110034G24Rik	0.0451399	0.072720354	0.093002052	0.000729081	0.001620389	0.005724102	0.00067208	0.022067941	0.003319343	0	0.000617045	0.001028741
1110035H17Rik	0.023903414	0	0.368125537	0.319079228	0.255468018	0.266017323	0.221892688	0.226247551	0.200425028	0.135296476	0.065926178	0.016335613
1110037F02Rik	0.580158166	0.622661685	0.548457992	0.370061984	0.378347617	0.294360551	0.258807241	0.157950849	0.188007264	0.091600056	0.036827	0.026589468
1110038B12Rik	0.45649028	0.236129874	0.367696792	0.46514044	0.486390605	0.590998494	0.410785816	0.376844063	0.280689843	0.207813154	0.140439656	0.079301439
1110038F14Rik	0.607584645	0.567650683	0.385689235	0.338313555	0.237982771	0.068491355	0.058671566	0.154001978	0.032177598	0.014678796	0.022513361	0.016820858
1110046J04Rik	0.024966133	0.002765797	0.162978771	0.062810266	0.048652843	0.029058587	0.030339237	0.01200566	0.020427983	0.018474902	0.109683659	0.123197173
1110051M20Rik	0.239992587	0.681676195	0.468215064	0.579887779	0.679027911	0.620395569	0.704159251	0.521818384	0.712933613	0.566747857	0.332897017	0.135230492
1110059E24Rik	0.218051926	0.266912936	0.232445352	0.126980605	0.139284246	0.115267571	0.368053975	0.142119689	0.372260542	0.263071123	0.092161278	0.022322909
1110059G10Rik	0.614650078	0.429685198	0.100413365	0.200739133	0.190638385	0.106526466	0.080584681	0.138865804	0.103840133	0.087871892	0.21701422	0.082124574
1110065P20Rik	0.755556479	0.754711649	1.030683597	1.656447624	1.446645262	1.521146251	1.363275661	1.346693791	1.184096575	0.999307108	0.8778282	0.626545745
1190002F15Rik	0.009671659	0	0	0.001581719	0.007412782	0.000934879	0	0.000849778	0.000271945	0	0.000573855	0.00110052
1190002N15Rik	0.217546773	0.047599025	0.17313281	0.017421916	0.017405501	0.012192489	0.00307756	0.010808044	0.001492689	0.002334957	0.004372775	0.002289125
1190003K10Rik	0.005387639	0	0	0.001587009	0.003616473	0.004296378	0.006894114	0	0.003473369	0.001246789	0.000143917	0.002292053
1190005I06Rik	0.056953142	0.014087121	0	0.023919013	0.013583121	0.022117712	0.016107613	0.170776107	0.004731409	0.180687546	0.794070634	0.307207554
1190007I07Rik	0.36461247	0.228142354	0	0.090378514	0.058233112	0.029269094	0.019495789	0.046576944	0.027208511	0.032015668	0.194933521	0.034149646
1200014J11Rik	1.009348778	0.757913139	0.371717759	0.176021122	0.151714823	0.038694696	0.080889804	0.08960997	0.029482725	0.03566701	0.071074284	0.05333769
1300002E11Rik	0.150387388	0.154191691	0.090785824	0.240841656	0.196924786	0.10123559	0.070622372	0.076626341	0.051438192	0.027537647	0.009331607	0.017212107
1300017J02Rik	0.004806594	0.04344883	0	0.051757049	0.087582997	0.099917638	0.072152447	0.048147599	0.049999827	0.032858677	0.014566207	0.017859445
1500002C15Rik	0.006886899	0	0.130070069	0.168561589	0.171427799	0.306918116	0.263169188	0.184809727	0.229086583	0.207581219	0.332500804	0.224070637
1500002F19Rik	0.01134742	0	0	0.001395945	0.000260442	0.000688384	0	0.011896971	0.002965477	0.00392702	0.007295257	0.007531119
1500004A13Rik	0.029324041	0.046979047	0	0.007229182	0.007352352	0.019692591	0.022797857	0.017731554	0.012867107	0.008886216	0.007773702	0.003218619
1500009C09Rik	0.001857013	0	0	0.003291614	0.001145179	0.004027049	0.038272767	0.013235731	0.087305677	0.088265018	0.0096671	0.015057848
1500009L16Rik	0.076431087	0.160817022	0	0.026934674	0.017096702	0.009874675	0.01656673	0.069892702	0.030693385	0.024919566	0.036474756	0.058244261
1500011B03Rik	0.470720717	0.445869161	0.259303936	0.299487355	0.26660866	0.136576479	0.069519951	0.178101768	0.024089927	0.009401569	0.031311338	0.04616213
1500011K16Rik	0.31625473	0.181528786	0.155770967	0.127889493	0.122023815	0.014685711	0.04641359	0.038496905	0.036992557	0.015268075	0.019311899	0.016302249
1500012F01Rik	0.603507842	0.115935895	0	0.113055525	0.098478601	0.094937018	0.070582097	0.096501414	0.025576255	0.014843887	0.017408748	0.027368223
1500015A07Rik	0.295026755	0.144367865	0.063760518	0.049413372	0.035261222	0.037920619	0.019150428	0.012209303	0.012487542	0.003842883	0.000688487	0.010897503
1500015L24Rik	0	0	0	0	0	0.000646123	0.000963521	0	0.005094706	0.009213602	0.011073568	0.00157255
1500017E21Rik	0.020898464	0	0	0.014142892	0.019406415	0.02106294	0.005539542	0.017352629	0.002549889	0.000586769	0.001396419	0
1500026H17Rik	0.017187061	0	0	0.108125946	0.097240285	0.087588983	0.108441211	0.044092462	0.080176707	0.07500746	0.046492286	0.054330434
1500035N22Rik	0.000943497	0	0.159056681	0.002857008	0.000423104	0.002257469	0.019174802	0.123791496	0.106255364	0.245115565	0.195064182	0.16850289
1520401A03Rik	0.0034925	0.020333508	0.82222819	0.157232708	0.092502335	0.017455347	0.011373848	0.052977009	0.009529624	0.002814228	0.009269386	0.020405781
1600002D24Rik	0	0	0	0.000145552	0	0.000172451	0.004206481	0	0.000462313	0.001143452	0.001579376	0.000611885
1600002H07Rik	0.200909807	0	0	0.008433816	0.018576452	0.013677875	0.004201825	0.000900291	0.00177596	0.001652376	0.000759635	0.004424417
1600002K03Rik	0.097708324	0.110306214	0.197795629	0.020344098	0.028884106	0	0.001225748	0.003435258	0.004378846	0.004435045	0.008951362	0.024894233
1600010M07Rik	0	0	0	0.000383963	0.001748515	0.0109477	0.001645136	0	0.001179915	0.002824319	0.000737491	0.000903331
1600012H06Rik	0.247523915	0.12204097	0.071493719	0.130374073	0.125232338	0.108966647	0.206871895	0.112970852	0.278676293	0.254770781	0.207179963	0.069924539
1600014C10Rik	0.023375954	0	0	0.005911983	0	0.00449317	0.008187093	0.001725376	0.026198258	0.021134336	0.016847498	0.015013797
1600014C23Rik	0.004954661	0.027865338	0	0.006388307	0.002179642	0.002406793	0.004025207	0.026837742	0.002521979	0.003302632	0.057328258	0.047341403
1600014K23Rik	0.00568841	0	0.046317868	0.009186951	0.010405652	0.012467822	0.260750396	0.209454214	0.524361722	0.590096432	0.451267139	0.039294335
1600017P15Rik	0	0	0	0.001727371	0	0.001459153	0	0	0.000161003	0.002195762	0.001403828	0.003366864
1600020E01Rik	0.225458935	0.426225518	0.399699248	0.30455442	0.311466162	0.309894853	0.445933888	0.325371326	0.407680673	0.36383562	0.231280562	0.276473391
1600025M17Rik	0.001849125	0	0.033001285	0.001474521	0.000203815	0.003879244	0.207786972	0.132929234	0.417271062	0.384656289	0.159135272	0.050788224
1600029O15Rik	0.016559581	0	0	0.000639556	0.001638269	0.000362464	0	0	0.000711711	0.000542471	0.000223763	0.002678015
1700001C02Rik	0.035438999	0.281291935	0.577318895	0.184370802	0.161373018	0.165124606	0.947648594	1.120593625	1.535551118	1.670592489	1.529477263	1.635813062
1700001C19Rik	0.080242807	0.45634096	0.606994254	0.095351268	0.039192535	0.093426741	0.126424823	1.160505183	0.540242061	1.420164342	2.106896305	2.62767677
1700001D01Rik	0	0	0	0	0	0.000528228	0	0	0.00220497	0.026426115	0.037810993	0.016353813
1700001F09Rik	0.010325402	0.014087121	0.091710045	0.010987688	0.012953846	0.041778489	1.076677363	0.423661555	1.05003853	0.567539898	0.121987654	0.019455773
1700001G01Rik	0.016602546	0.192036687	0.778505806	0.44983295	0.637561146	0.832620729	0.845648572	0.607584928	0.787611538	0.633064654	0.543586255	0.53246651
1700001G11Rik	0.065953595	0.206138312	1.163621057	1.144450542	1.216015875	1.40386241	1.295024209	1.099155979	1.120012213	0.882940481	0.443859797	0.147077501
1700001G17Rik	0.01288267	0.127769441	0	0.189926722	0.171436605	0.152310174	0.11600333	0.107282923	0.080681999	0.052048999	0.03150519	0.027108987
1700001J03Rik	0.048417443	0.264113603	0.255806627	0.061502747	0.037302703	0.069070019	1.146798983	1.258829988	1.876978538	2.155109941	1.777285472	0.82009511
1700001J04Rik	0.002881235	0.01747673	0	0.027119577	0.013736287	0.03472192	0.016735315	0.055617741	0.013307831	0.047748559	0.317496768	0.157837654
1700001J11Rik	0.052723097	0.189025965	0.657352095	1.115934329	1.440359057	1.720378828	1.716492577	1.212593932	1.533720563	1.308575729	0.766798628	0.240835379
1700001K19Rik	0.065186529	0.315671279	0.130308459	0.045538537	0.022510359	0.040285689	0.064798836	0.976868041	0.311381293	1.074766494	1.811842539	2.326869873
1700001L05Rik	0.293165619	0.887464529	1.001249016	1.001450447	1.054809454	1.147489239	1.128559387	1.050624204	1.076045671	1.03147757	0.976215492	1.105337358
1700001L19Rik	0.09120368	0.092791956	0.174087773	0.059852144	0.034195085	0.092233638	1.171931682	1.018131069	1.894122398	1.951807567	1.422884483	0.61807319
1700001O22Rik	0.080875009	0.429259606	0.924162847	0.532122663	0.481340874	0.761355901	0.753387249	1.098250207	0.685972318	0.84708091	1.958269856	2.57008288
1700001P01Rik	0.033614944	0.148386915	0.189605385	0.0442069	0.008335468	0.028053902	0.134037321	1.080281651	1.1413693	2.129911491	1.675753886	0.080814988
1700003C15Rik	0.007160215	0.040936314	0.269443265	0.136125683	0.094751911	0.118249253	0.076441794	0.045294107	0.038761189	0.02599356	0.041595125	0.010576991
1700003D09Rik	0.0007336	0	0.056273002	0.003520645	0.002560731	0.003566844	0.005572379	0.001348387	0.006486494	0.002514389	0.000482862	0.002694729
1700003E16Rik	0.0701849	0.579921902	1.495288565	1.095468131	1.084688682	1.304308801	1.422648515	1.211022855	1.48790939	1.436110794	1.322513719	1.662656095
1700003E24Rik	0.007496228	0.068120648	0.136520013	0.00683513	0.001800295	0.001489304	0.083644588	0.337017899	0.253455346	0.457630684	0.690565894	1.113420559
1700003F12Rik	0.135244453	0.596929679	0.728510329	0.100462007	0.037561104	0.076606529	0.629931396	1.506481146	1.547005989	2.107206251	2.616111593	2.820671014
1700003G13Rik	0	0.013921442	0	0.001396688	0	0.001328227	0.002089676	0.101188005	0.001891451	0.043534001	0.357874609	0.241807597
1700003G18Rik	0.008571591	0.181077926	0.096868847	0.216428704	0.30019758	0.363570243	0.356879843	0.220231159	0.316115189	0.248241001	0.185325569	0.111883738
1700003H04Rik	0.044796776	0.08407848	0.75708251	0.907358045	1.255578946	1.550125373	1.728700739	1.351825212	1.848888599	1.771334973	1.385831265	0.324401152
1700003I22Rik	0.030173953	0.080677331	0.356419132	1.042587178	0.867007216	1.110904118	0.994044739	0.858045691	0.850134762	0.727905236	0.556227611	0.441349397
1700003L19Rik	0	0.002765797	0	0.001785417	9.16E-05	0.00079478	0.002179737	0.048119401	0.059735726	0.133651338	0.130079319	0.161275891
1700003M02Rik	0.181591324	0.619809225	1.65914089	2.177503466	2.36200205	2.4569786	2.579175971	2.240482145	2.652419819	2.542353176	2.100655347	1.117872573
1700003M07Rik	0.01065369	0.030150008	0	0	0	0.000802735	0.043320353	0.012601481	0.018271982	0.005586366	0.005265599	0.001371424
1700003N22Rik	0	0	0.063785335	0.006854282	0.007361044	0.00694942	0.008174317	0.010178941	0.012865408	0.007711491	0.008213241	0.004717083
1700003P14Rik	0.047839723	0.148746526	0.269839702	0.024931532	0.008267536	0.021201517	0.051166934	0.957337022	0.889786362	1.605511963	1.519131712	1.415397412
1700006A11Rik	0.024664964	0.917993363	2.455519479	1.176578547	1.00393188	0.351633506	0.158985774	0.466708132	0.062590791	0.081944766	0.056590531	0.058896209
1700006E09Rik	0.02279641	0.110050761	0.033001285	0.029405099	0.008444495	0.027522186	0.176530946	0.925931554	0.461514193	1.311022324	1.943053069	1.343755709
1700006F04Rik	0.003856814	0	0	0.003289365	0.001081562	0.008296519	0.009453955	0.298264243	0.027156246	0.343441367	0.756530994	0.424137895
1700006H21Rik	0.001151066	0.044744989	0	0.136912394	0.135486417	0.252788711	0.221427113	0.088084274	0.187719395	0.143060215	0.080414474	0.036782766
1700006J14Rik	0.043678895	0.801772896	1.189792121	1.784029895	1.664593309	1.548573775	1.338785767	1.42413864	1.112871139	0.872680807	0.721990204	0.594703633
1700006P03Rik	0	0.002765797	0	0.00054751	0.000454161	0.000571626	0.000434216	0	0.001041833	0.00480589	0.094197099	0.210837384
1700007B14Rik	0.038424076	0.173085929	0.064948189	0.02495443	0.012368454	0.043755675	0.434450148	0.672712969	1.235914906	1.550807866	1.292977422	1.205228069
1700007E05Rik	0.001833126	0	0	0.001898032	0.003810663	0.004991147	0.211132155	0.028032638	0.182880433	0.125488436	0.017227863	0.005232775
1700007F19Rik	0.002609106	0	0.486621436	0.175987722	0.12705925	0.21969098	0.157119322	0.109439421	0.102605341	0.044602875	0.026781877	0.011020332
1700007G11Rik	0.059746414	0.313694334	0.662884525	1.429391632	1.547490288	1.616522416	1.651579545	1.254651734	1.533474754	1.342560472	0.903891896	0.167914589
1700007J10Rik	0	0.019253431	0	0.002905032	0.000628352	0.003898813	0.006940996	0.059011313	0.014654214	0.164716413	0.211943845	0.113536
1700007K09Rik	0.029083526	0.105230846	0.174647159	0.024977244	0.011768777	0.028301548	0.464947906	0.996487538	1.548270447	1.991356957	1.056515919	0.488986528
1700007K13Rik	0.039136854	0.112182679	0	0.02902745	0.01571787	0.043259108	0.953178896	0.58421167	1.463025695	1.105162547	0.618447035	0.245745242
1700007L15Rik	0.122149511	0.543052021	0.576047799	0.913740785	0.858422041	0.709601902	0.688915832	0.585429012	0.627664705	0.486985076	0.383828988	0.34048477
1700007M16Rik	0	0	0	0.000195623	0.000381665	0.001370473	0.002028455	0.00384602	0.003776974	0.028059658	0.026948235	0.006793439
1700007P06Rik	0.008742365	0.142088592	0.108029868	0.005407409	0.005448896	0.020180513	0.104672891	0.559807979	0.624480209	1.087151264	0.955144023	0.80132411
1700008A23Rik	0.001351981	0.046393932	0	0.002932715	0.001200655	0.002140485	0.006117793	0.103142663	0.001680907	0.008402031	0.243438543	0.503507492
1700008F21Rik	0.106897918	0.217093155	1.443338326	1.403028791	1.611149483	1.841197209	1.855080792	1.535958812	1.818374685	1.655439719	1.401522101	1.167928532
1700008J07Rik	0.114825942	0.251307112	0.573062078	0.825744025	0.844905699	0.927897794	0.873465283	0.763694176	0.768019795	0.658898515	0.535930405	0.60692413
1700008K24Rik	0.197555513	1.950997915	3.786921378	2.742604989	2.616482402	2.380081362	2.166145926	2.291570409	2.044639553	1.868800284	1.686072698	1.922376019
1700008O03Rik	0.016236181	0.060015163	0.682875901	0.252942145	0.173974225	0.365432086	0.59610106	0.130693784	0.661089456	0.418308356	0.147061084	0.071254696
1700008P02Rik	0.003636383	0.089201155	0	0.006406688	0.007157595	0.003794919	0.015410127	0.221996696	0.011743763	0.032650078	0.501425162	1.101183763
1700009C05Rik	0.030268012	0.513072658	1.5321548	0.755343374	0.598030716	0.261150199	0.183315994	0.566040098	0.109118901	0.209105091	0.329213634	0.09974762
1700009J07Rik	0.027241722	0.153932284	0.224381251	0.009234459	0.006778864	0.016870262	0.018728185	0.42464435	0.018279586	0.089025271	0.907358059	1.609243939
1700009N14Rik	0.112843833	0.610609298	0.618662074	0.094851024	0.051154106	0.105647779	0.683902699	1.610269758	1.571977298	2.121263472	2.355134882	2.876615117
1700010B08Rik	0.083048205	0.607315316	1.03793797	2.050568805	1.850790885	2.15047331	1.752319963	1.649647295	1.384514686	1.039493415	0.767728516	0.385340792
1700010B13Rik	0.009491505	0.019003421	0.150026608	0.28053508	0.375029915	0.500417852	0.444152092	0.133324979	0.329878783	0.207940866	0.104876005	0.06389975
1700010D01Rik	0.029820752	0.162207805	0	0.025109211	0.006994451	0.02152237	0.245401655	0.81489885	0.687536756	1.050605922	1.444136282	1.875290642
1700010H22Rik	0.005266007	0	0.10016774	0.005997443	0.005445101	0.002165695	0.083407948	0.167302694	0.624433582	0.779842056	0.264364636	0.038666858
1700010I02Rik	0.004626198	0.002765797	0	0.002671902	0.003853631	0.003987068	0.076278991	0.209188669	0.305524698	0.432435019	0.37262499	0.269522583
1700010I14Rik	0.268957814	1.274975483	2.312826328	2.836995974	2.970573376	3.111737343	3.062483565	2.667284729	2.910080747	2.465967817	1.626041019	0.582294959
1700010J16Rik	0.004040916	0	0	0.00568269	0.003582747	0.001583344	0.038433444	0.223127588	0.097216136	0.354351837	0.653180506	0.595223089
1700010K23Rik	0.078267818	0.22376086	0.508412265	1.033251087	1.307590751	1.556678002	1.525381066	1.195042534	1.384136763	1.248325205	1.048950116	0.427247229
1700010K24Rik	0.009814433	0.017210707	0	0.027479744	0.033828714	0.042104331	0.089110996	0.059207887	0.037711308	0.029392373	0.013842781	0.000348535
1700010L04Rik	0	0	0	0.000345699	0	0.000307951	0.008958475	0.040122208	0.023624893	0.05224209	0.085708974	0.072100628
1700010N08Rik	0.006263042	0	0	0.040455183	0.067069741	0.063732118	0.106597898	0.178340242	0.156355737	0.14857447	0.094045189	0.008991416
1700011A15Rik	0.043648672	0.238387336	0.194755411	0.031316003	0.008734891	0.041222106	0.847508519	0.78813751	1.66867691	1.909223133	1.020686808	0.198311233
1700011B04Rik	0.001766326	0.012044507	0	0.004516005	0.002131847	0.004807175	0.044648985	0.087681336	0.328647924	0.357328876	0.137308582	0.049366689
1700011E24Rik	0.11234552	0.22941328	1.242799143	2.074937416	2.081535157	2.315397243	2.200169808	1.900884693	1.986317572	1.755397931	1.362899276	0.424989589
1700011H14Rik	0.018195719	0.107072937	0.093747168	0.033060326	0.021024354	0.032932263	0.582839006	0.472674576	1.007927834	0.951720012	0.822465289	1.071410013
1700011I03Rik	0.053037239	0.504834542	0.687122821	1.175156974	1.101546531	1.332528339	1.389012632	1.227220309	1.417531038	1.321639764	1.1045221	0.637116402
1700011L22Rik	0.045898573	0.122906401	0.164934759	0.04160445	0.016778863	0.049348346	0.739243567	1.150836816	1.517810834	1.877299069	1.895541465	1.741020189
1700011M02Rik	0.068412852	0.106201236	0	0.009183949	0.013926586	0.018675608	0.020998648	0.144052883	0.032290989	0.033596864	0.17092291	0.232423419
1700012A03Rik	0.069685409	0.554830466	0.38174824	0.049414768	0.025655388	0.042235579	0.067157459	0.944291124	0.099953404	0.353945454	1.745498196	2.513257876
1700012B07Rik	0.066179573	0.17141242	0.219306522	0.059404394	0.019892366	0.038397885	0.343941485	1.123455242	1.382635941	1.920633199	1.847203972	1.731270588
1700012B09Rik	0.083567959	0.618710918	0.746695062	1.514071441	1.666704147	1.870683636	2.124943245	1.584100691	2.296735906	2.034555132	1.129259132	0.392966186
1700012C14Rik	0.03305307	0.042303078	0.064842451	0.603600676	0.531013375	0.583280377	0.383343226	0.330657422	0.244666521	0.166925681	0.085472191	0.015497141
1700012E03Rik	0.005453765	0	0	0.079326141	0.064486186	0.064433778	0.038857296	0.063512026	0.0135534	0.008657336	0.00588061	0.005205367
1700012I11Rik	0	0	0	0.001533597	0	0	0	0.001102251	0.017799558	0.026841336	0.023789949	0.016380652
1700012J22Rik	0.004051722	0.026343933	0.208265667	0.240409469	0.248260357	0.344592494	0.309045177	0.187185684	0.243714181	0.201823415	0.113837769	0.054109365
1700012L04Rik	0.005496873	0.034926847	0	0.001453892	0.001173703	0.001177866	0.000453121	0.05990173	0.004280883	0.060773342	0.284402402	0.482429394
1700012P22Rik	0.011408269	0.065895058	0.231607705	0.103407538	0.182220217	0.243632516	0.699562772	0.476750765	0.96272532	0.923711639	0.682322894	0.236108826
1700013D24Rik	0.053596156	0.285710596	0.133358644	0.05023462	0.018926927	0.053940159	0.315750808	1.17199166	1.425132092	2.182429049	2.183298261	0.678344326
1700013F07Rik	0.063880537	0.370985098	0.348043662	0.055510197	0.037185396	0.082720596	0.98514537	1.428802516	1.732388609	2.163653887	2.198532826	1.916972516
1700013G24Rik	0.08084546	0.452397768	0.423520251	0.07161319	0.040534793	0.073753445	0.719326847	1.448057179	1.742293752	2.296842743	2.249389465	2.589684041
1700013H16Rik	1.462592083	0.476184329	0	0.019204483	0.015731025	0.023497382	0.360841796	0.523203793	0.628664389	0.950378225	0.978421998	0.230176047
1700013N06Rik	0.001336864	0	0	0.000361839	0	0.001048375	0.001497719	0.004211681	0.00607701	0.045153187	0.061086056	0.054363253
1700014D04Rik	0.023334325	0.017210707	0	0.010330774	0.001668467	0.013304309	0.039664242	0.344851811	0.529071628	0.812320862	0.796252548	0.202067269
1700015E13Rik	0.080934059	0.25220052	0.114373212	0.083646876	0.049545468	0.118950737	0.984735263	1.689249543	2.081470561	2.56012605	2.371557594	0.646541468
1700015F17Rik	0.07641824	0.258412518	0.064948189	0.085636767	0.076664607	0.064874038	0.468830584	1.192164816	1.605694905	2.085600661	1.981081396	1.772345745
1700015G11Rik	0.071688594	0.321915768	0.557349084	0.058334733	0.028734025	0.063263725	0.056958287	1.287855205	0.115754743	0.520914487	2.058048283	2.951049037
1700015O11Rik	0.008828558	0.002765797	0.082302886	0.001337944	0.001477308	0.00027172	0.004626526	0.06277506	0.003524307	0.005840236	0.389716155	0.554143421
1700016A09Rik	0.023931109	0.046327518	0.649577047	0.71699823	0.524239079	0.661040748	0.606461863	0.682631788	0.565157542	0.487472652	0.433078203	0.49835576
1700016C15Rik	0.019738191	0.093610167	0.065467114	0.019402664	0.004799243	0.01925949	0.023514521	0.682826233	0.028598621	0.182259824	1.736084197	1.704577561
1700016D06Rik	0.039752444	0.046349365	0.210283434	0.038071308	0.015634925	0.03131335	1.109720157	1.119590865	1.668350323	1.747489606	1.520373188	0.874059078
1700016D08Rik	0.002252243	0	0	0.0063617	0.002810551	0.004825555	0.006251787	0.065616899	0.024430495	0.090244261	0.109839309	0.145881617
1700016G14Rik	0.029339676	0.120542823	0	0.02558838	0.011445521	0.025014685	0.965178511	1.035523488	1.653557968	1.836554124	1.152822447	0.094364845
1700016G22Rik	0.020075261	0.131401727	0.55858818	0.594743825	0.647406986	0.603214385	0.51910338	0.401787342	0.422152679	0.495286013	0.246578599	0.084458405
1700016H13Rik	0.069614789	0.313862195	0.402451353	0.055760576	0.026665945	0.056886453	0.083110626	1.180659125	0.341101486	1.157280415	2.067291605	2.613153429
